sample_id,source_id,algorithm_family,label,trojan_type,fold_iid_r0,fold_iid_r1,fold_iid_r2,holdout_family
benign_deutsch_jozsa_v1_000024,benign_deutsch_jozsa_v1_000024,deutsch_jozsa,benign,benign,4,4,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000025,benign_deutsch_jozsa_v1_000025,deutsch_jozsa,benign,benign,0,0,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000026,benign_deutsch_jozsa_v1_000026,deutsch_jozsa,benign,benign,4,3,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000027,benign_deutsch_jozsa_v1_000027,deutsch_jozsa,benign,benign,1,4,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000028,benign_deutsch_jozsa_v1_000028,deutsch_jozsa,benign,benign,0,3,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000029,benign_deutsch_jozsa_v1_000029,deutsch_jozsa,benign,benign,4,2,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000030,benign_deutsch_jozsa_v1_000030,deutsch_jozsa,benign,benign,0,2,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000031,benign_deutsch_jozsa_v1_000031,deutsch_jozsa,benign,benign,0,3,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000032,benign_deutsch_jozsa_v1_000032,deutsch_jozsa,benign,benign,2,1,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000033,benign_deutsch_jozsa_v1_000033,deutsch_jozsa,benign,benign,4,3,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000034,benign_deutsch_jozsa_v1_000034,deutsch_jozsa,benign,benign,1,3,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000035,benign_deutsch_jozsa_v1_000035,deutsch_jozsa,benign,benign,2,2,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000036,benign_deutsch_jozsa_v1_000036,deutsch_jozsa,benign,benign,3,2,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000037,benign_deutsch_jozsa_v1_000037,deutsch_jozsa,benign,benign,3,0,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000038,benign_deutsch_jozsa_v1_000038,deutsch_jozsa,benign,benign,0,2,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000039,benign_deutsch_jozsa_v1_000039,deutsch_jozsa,benign,benign,1,4,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000040,benign_deutsch_jozsa_v1_000040,deutsch_jozsa,benign,benign,4,4,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000041,benign_deutsch_jozsa_v1_000041,deutsch_jozsa,benign,benign,0,4,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000042,benign_deutsch_jozsa_v1_000042,deutsch_jozsa,benign,benign,4,0,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000043,benign_deutsch_jozsa_v1_000043,deutsch_jozsa,benign,benign,2,2,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000044,benign_deutsch_jozsa_v1_000044,deutsch_jozsa,benign,benign,1,4,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000045,benign_deutsch_jozsa_v1_000045,deutsch_jozsa,benign,benign,4,2,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000046,benign_deutsch_jozsa_v1_000046,deutsch_jozsa,benign,benign,4,3,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000047,benign_deutsch_jozsa_v1_000047,deutsch_jozsa,benign,benign,2,0,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000048,benign_deutsch_jozsa_v1_000048,deutsch_jozsa,benign,benign,3,0,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000049,benign_deutsch_jozsa_v1_000049,deutsch_jozsa,benign,benign,2,2,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000050,benign_deutsch_jozsa_v1_000050,deutsch_jozsa,benign,benign,1,4,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000051,benign_deutsch_jozsa_v1_000051,deutsch_jozsa,benign,benign,3,0,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000052,benign_deutsch_jozsa_v1_000052,deutsch_jozsa,benign,benign,2,2,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000053,benign_deutsch_jozsa_v1_000053,deutsch_jozsa,benign,benign,1,3,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000054,benign_deutsch_jozsa_v1_000054,deutsch_jozsa,benign,benign,4,2,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000055,benign_deutsch_jozsa_v1_000055,deutsch_jozsa,benign,benign,0,0,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000056,benign_deutsch_jozsa_v1_000056,deutsch_jozsa,benign,benign,4,0,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000057,benign_deutsch_jozsa_v1_000057,deutsch_jozsa,benign,benign,4,2,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000058,benign_deutsch_jozsa_v1_000058,deutsch_jozsa,benign,benign,0,2,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000059,benign_deutsch_jozsa_v1_000059,deutsch_jozsa,benign,benign,0,3,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000060,benign_deutsch_jozsa_v1_000060,deutsch_jozsa,benign,benign,4,1,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000061,benign_deutsch_jozsa_v1_000061,deutsch_jozsa,benign,benign,2,2,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000062,benign_deutsch_jozsa_v1_000062,deutsch_jozsa,benign,benign,3,3,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000063,benign_deutsch_jozsa_v1_000063,deutsch_jozsa,benign,benign,2,1,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000064,benign_deutsch_jozsa_v1_000064,deutsch_jozsa,benign,benign,3,3,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000065,benign_deutsch_jozsa_v1_000065,deutsch_jozsa,benign,benign,2,1,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000066,benign_deutsch_jozsa_v1_000066,deutsch_jozsa,benign,benign,3,1,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000067,benign_deutsch_jozsa_v1_000067,deutsch_jozsa,benign,benign,2,4,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000068,benign_deutsch_jozsa_v1_000068,deutsch_jozsa,benign,benign,0,4,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000069,benign_deutsch_jozsa_v1_000069,deutsch_jozsa,benign,benign,1,4,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000070,benign_deutsch_jozsa_v1_000070,deutsch_jozsa,benign,benign,0,1,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000071,benign_deutsch_jozsa_v1_000071,deutsch_jozsa,benign,benign,0,0,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000072,benign_deutsch_jozsa_v1_000072,deutsch_jozsa,benign,benign,1,1,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000073,benign_deutsch_jozsa_v1_000073,deutsch_jozsa,benign,benign,2,3,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000074,benign_deutsch_jozsa_v1_000074,deutsch_jozsa,benign,benign,1,2,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000075,benign_deutsch_jozsa_v1_000075,deutsch_jozsa,benign,benign,0,4,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000076,benign_deutsch_jozsa_v1_000076,deutsch_jozsa,benign,benign,1,4,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000077,benign_deutsch_jozsa_v1_000077,deutsch_jozsa,benign,benign,2,2,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000078,benign_deutsch_jozsa_v1_000078,deutsch_jozsa,benign,benign,2,2,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000079,benign_deutsch_jozsa_v1_000079,deutsch_jozsa,benign,benign,3,3,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000080,benign_deutsch_jozsa_v1_000080,deutsch_jozsa,benign,benign,3,0,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000081,benign_deutsch_jozsa_v1_000081,deutsch_jozsa,benign,benign,2,1,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000082,benign_deutsch_jozsa_v1_000082,deutsch_jozsa,benign,benign,0,4,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000083,benign_deutsch_jozsa_v1_000083,deutsch_jozsa,benign,benign,0,3,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000084,benign_deutsch_jozsa_v1_000084,deutsch_jozsa,benign,benign,2,4,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000085,benign_deutsch_jozsa_v1_000085,deutsch_jozsa,benign,benign,2,1,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000086,benign_deutsch_jozsa_v1_000086,deutsch_jozsa,benign,benign,3,1,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000087,benign_deutsch_jozsa_v1_000087,deutsch_jozsa,benign,benign,2,3,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000088,benign_deutsch_jozsa_v1_000088,deutsch_jozsa,benign,benign,3,3,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000089,benign_deutsch_jozsa_v1_000089,deutsch_jozsa,benign,benign,3,2,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000090,benign_deutsch_jozsa_v1_000090,deutsch_jozsa,benign,benign,1,2,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000091,benign_deutsch_jozsa_v1_000091,deutsch_jozsa,benign,benign,1,1,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000092,benign_deutsch_jozsa_v1_000092,deutsch_jozsa,benign,benign,1,0,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000093,benign_deutsch_jozsa_v1_000093,deutsch_jozsa,benign,benign,0,0,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000094,benign_deutsch_jozsa_v1_000094,deutsch_jozsa,benign,benign,4,0,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000095,benign_deutsch_jozsa_v1_000095,deutsch_jozsa,benign,benign,3,4,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000096,benign_deutsch_jozsa_v1_000096,deutsch_jozsa,benign,benign,0,4,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000097,benign_deutsch_jozsa_v1_000097,deutsch_jozsa,benign,benign,3,2,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000098,benign_deutsch_jozsa_v1_000098,deutsch_jozsa,benign,benign,1,4,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000099,benign_deutsch_jozsa_v1_000099,deutsch_jozsa,benign,benign,1,0,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000100,benign_deutsch_jozsa_v1_000100,deutsch_jozsa,benign,benign,3,0,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000101,benign_deutsch_jozsa_v1_000101,deutsch_jozsa,benign,benign,4,0,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000102,benign_deutsch_jozsa_v1_000102,deutsch_jozsa,benign,benign,0,0,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000103,benign_deutsch_jozsa_v1_000103,deutsch_jozsa,benign,benign,0,3,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000104,benign_deutsch_jozsa_v1_000104,deutsch_jozsa,benign,benign,0,4,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000105,benign_deutsch_jozsa_v1_000105,deutsch_jozsa,benign,benign,0,0,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000106,benign_deutsch_jozsa_v1_000106,deutsch_jozsa,benign,benign,0,4,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000107,benign_deutsch_jozsa_v1_000107,deutsch_jozsa,benign,benign,4,3,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000108,benign_deutsch_jozsa_v1_000108,deutsch_jozsa,benign,benign,4,1,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000109,benign_deutsch_jozsa_v1_000109,deutsch_jozsa,benign,benign,0,0,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000110,benign_deutsch_jozsa_v1_000110,deutsch_jozsa,benign,benign,0,4,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000111,benign_deutsch_jozsa_v1_000111,deutsch_jozsa,benign,benign,3,3,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000112,benign_deutsch_jozsa_v1_000112,deutsch_jozsa,benign,benign,1,3,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000113,benign_deutsch_jozsa_v1_000113,deutsch_jozsa,benign,benign,3,4,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000114,benign_deutsch_jozsa_v1_000114,deutsch_jozsa,benign,benign,0,1,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000115,benign_deutsch_jozsa_v1_000115,deutsch_jozsa,benign,benign,0,0,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000116,benign_deutsch_jozsa_v1_000116,deutsch_jozsa,benign,benign,2,1,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000117,benign_deutsch_jozsa_v1_000117,deutsch_jozsa,benign,benign,2,2,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000118,benign_deutsch_jozsa_v1_000118,deutsch_jozsa,benign,benign,0,4,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000119,benign_deutsch_jozsa_v1_000119,deutsch_jozsa,benign,benign,0,2,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000120,benign_deutsch_jozsa_v1_000120,deutsch_jozsa,benign,benign,4,2,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000121,benign_deutsch_jozsa_v1_000121,deutsch_jozsa,benign,benign,2,1,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000122,benign_deutsch_jozsa_v1_000122,deutsch_jozsa,benign,benign,3,3,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000123,benign_deutsch_jozsa_v1_000123,deutsch_jozsa,benign,benign,4,4,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000124,benign_deutsch_jozsa_v1_000124,deutsch_jozsa,benign,benign,0,0,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000125,benign_deutsch_jozsa_v1_000125,deutsch_jozsa,benign,benign,4,2,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000126,benign_deutsch_jozsa_v1_000126,deutsch_jozsa,benign,benign,4,1,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000127,benign_deutsch_jozsa_v1_000127,deutsch_jozsa,benign,benign,1,1,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000128,benign_deutsch_jozsa_v1_000128,deutsch_jozsa,benign,benign,3,1,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000129,benign_deutsch_jozsa_v1_000129,deutsch_jozsa,benign,benign,2,4,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000130,benign_deutsch_jozsa_v1_000130,deutsch_jozsa,benign,benign,4,1,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000131,benign_deutsch_jozsa_v1_000131,deutsch_jozsa,benign,benign,3,0,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000132,benign_deutsch_jozsa_v1_000132,deutsch_jozsa,benign,benign,1,2,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000133,benign_deutsch_jozsa_v1_000133,deutsch_jozsa,benign,benign,4,2,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000134,benign_deutsch_jozsa_v1_000134,deutsch_jozsa,benign,benign,2,1,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000135,benign_deutsch_jozsa_v1_000135,deutsch_jozsa,benign,benign,3,4,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000136,benign_deutsch_jozsa_v1_000136,deutsch_jozsa,benign,benign,1,1,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000137,benign_deutsch_jozsa_v1_000137,deutsch_jozsa,benign,benign,0,1,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000138,benign_deutsch_jozsa_v1_000138,deutsch_jozsa,benign,benign,1,2,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000139,benign_deutsch_jozsa_v1_000139,deutsch_jozsa,benign,benign,4,2,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000140,benign_deutsch_jozsa_v1_000140,deutsch_jozsa,benign,benign,0,1,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000141,benign_deutsch_jozsa_v1_000141,deutsch_jozsa,benign,benign,4,4,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000142,benign_deutsch_jozsa_v1_000142,deutsch_jozsa,benign,benign,2,1,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000143,benign_deutsch_jozsa_v1_000143,deutsch_jozsa,benign,benign,2,4,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000144,benign_deutsch_jozsa_v1_000144,deutsch_jozsa,benign,benign,0,0,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000145,benign_deutsch_jozsa_v1_000145,deutsch_jozsa,benign,benign,1,2,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000146,benign_deutsch_jozsa_v1_000146,deutsch_jozsa,benign,benign,0,2,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000147,benign_deutsch_jozsa_v1_000147,deutsch_jozsa,benign,benign,4,3,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000148,benign_deutsch_jozsa_v1_000148,deutsch_jozsa,benign,benign,2,2,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000149,benign_deutsch_jozsa_v1_000149,deutsch_jozsa,benign,benign,3,0,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000150,benign_deutsch_jozsa_v1_000150,deutsch_jozsa,benign,benign,0,3,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000151,benign_deutsch_jozsa_v1_000151,deutsch_jozsa,benign,benign,2,1,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000152,benign_deutsch_jozsa_v1_000152,deutsch_jozsa,benign,benign,1,2,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000153,benign_deutsch_jozsa_v1_000153,deutsch_jozsa,benign,benign,1,3,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000154,benign_deutsch_jozsa_v1_000154,deutsch_jozsa,benign,benign,2,1,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000155,benign_deutsch_jozsa_v1_000155,deutsch_jozsa,benign,benign,1,1,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000156,benign_deutsch_jozsa_v1_000156,deutsch_jozsa,benign,benign,3,4,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000157,benign_deutsch_jozsa_v1_000157,deutsch_jozsa,benign,benign,1,1,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000158,benign_deutsch_jozsa_v1_000158,deutsch_jozsa,benign,benign,4,1,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000159,benign_deutsch_jozsa_v1_000159,deutsch_jozsa,benign,benign,3,3,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000160,benign_deutsch_jozsa_v1_000160,deutsch_jozsa,benign,benign,2,0,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000161,benign_deutsch_jozsa_v1_000161,deutsch_jozsa,benign,benign,2,0,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000162,benign_deutsch_jozsa_v1_000162,deutsch_jozsa,benign,benign,1,1,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000163,benign_deutsch_jozsa_v1_000163,deutsch_jozsa,benign,benign,0,3,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000164,benign_deutsch_jozsa_v1_000164,deutsch_jozsa,benign,benign,1,2,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000165,benign_deutsch_jozsa_v1_000165,deutsch_jozsa,benign,benign,3,4,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000166,benign_deutsch_jozsa_v1_000166,deutsch_jozsa,benign,benign,4,1,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000167,benign_deutsch_jozsa_v1_000167,deutsch_jozsa,benign,benign,0,1,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000168,benign_deutsch_jozsa_v1_000168,deutsch_jozsa,benign,benign,3,0,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000169,benign_deutsch_jozsa_v1_000169,deutsch_jozsa,benign,benign,1,4,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000170,benign_deutsch_jozsa_v1_000170,deutsch_jozsa,benign,benign,4,4,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000171,benign_deutsch_jozsa_v1_000171,deutsch_jozsa,benign,benign,4,1,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000172,benign_deutsch_jozsa_v1_000172,deutsch_jozsa,benign,benign,3,2,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000173,benign_deutsch_jozsa_v1_000173,deutsch_jozsa,benign,benign,2,3,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000174,benign_deutsch_jozsa_v1_000174,deutsch_jozsa,benign,benign,3,3,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000175,benign_deutsch_jozsa_v1_000175,deutsch_jozsa,benign,benign,4,4,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000176,benign_deutsch_jozsa_v1_000176,deutsch_jozsa,benign,benign,0,0,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000177,benign_deutsch_jozsa_v1_000177,deutsch_jozsa,benign,benign,0,0,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000178,benign_deutsch_jozsa_v1_000178,deutsch_jozsa,benign,benign,0,4,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000179,benign_deutsch_jozsa_v1_000179,deutsch_jozsa,benign,benign,1,0,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000180,benign_deutsch_jozsa_v1_000180,deutsch_jozsa,benign,benign,4,4,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000181,benign_deutsch_jozsa_v1_000181,deutsch_jozsa,benign,benign,0,4,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000182,benign_deutsch_jozsa_v1_000182,deutsch_jozsa,benign,benign,2,2,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000183,benign_deutsch_jozsa_v1_000183,deutsch_jozsa,benign,benign,1,1,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000184,benign_deutsch_jozsa_v1_000184,deutsch_jozsa,benign,benign,0,1,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000185,benign_deutsch_jozsa_v1_000185,deutsch_jozsa,benign,benign,4,3,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000186,benign_deutsch_jozsa_v1_000186,deutsch_jozsa,benign,benign,3,1,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000187,benign_deutsch_jozsa_v1_000187,deutsch_jozsa,benign,benign,4,4,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000188,benign_deutsch_jozsa_v1_000188,deutsch_jozsa,benign,benign,4,4,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000189,benign_deutsch_jozsa_v1_000189,deutsch_jozsa,benign,benign,1,3,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000190,benign_deutsch_jozsa_v1_000190,deutsch_jozsa,benign,benign,4,2,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000191,benign_deutsch_jozsa_v1_000191,deutsch_jozsa,benign,benign,3,1,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000192,benign_deutsch_jozsa_v1_000192,deutsch_jozsa,benign,benign,4,3,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000193,benign_deutsch_jozsa_v1_000193,deutsch_jozsa,benign,benign,3,0,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000194,benign_deutsch_jozsa_v1_000194,deutsch_jozsa,benign,benign,2,0,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000195,benign_deutsch_jozsa_v1_000195,deutsch_jozsa,benign,benign,1,1,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000196,benign_deutsch_jozsa_v1_000196,deutsch_jozsa,benign,benign,4,3,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000197,benign_deutsch_jozsa_v1_000197,deutsch_jozsa,benign,benign,1,0,2,deutsch_jozsa
